YR,MON,NINO1+2
2004,2,26.03
2004,3,25.75
2004,4,24.96
2004,5,22.82
2004,6,22.05
2004,7,21.18
2004,8,20.26
2004,9,20.46
2004,10,21.16
2004,11,22.37
2004,12,23.18
2005,1,24.54
2005,2,25.16
2005,3,25.03
2005,4,25.12
2005,5,24.04
2005,6,22.35
2005,7,21.61
2005,8,20.61
2005,9,19.99
2005,10,19.75
2005,11,20.23
2005,12,21.89
2006,1,24.19
2006,2,26.32
2006,3,26.2
2006,4,24.04
2006,5,23.86
2006,6,22.91
2006,7,22.16
2006,8,21.71
2006,9,21.7
2006,10,22.07
2006,11,22.45
2006,12,23.52
2007,1,25.23
2007,2,26.21
2007,3,25.84
2007,4,24.31
2007,5,22.63
2007,6,21.52
2007,7,20.98
2007,8,19.81
2007,9,19.75
2007,10,19.5
2007,11,19.92
2007,12,21.15
2008,1,24.08
2008,2,26.32
2008,3,26.88
2008,4,25.94
2008,5,24.95
2008,6,23.68
2008,7,22.95
2008,8,22.4
2008,9,21.75
2008,10,21.37
2008,11,21.38
2008,12,22.36
2009,1,24.4
2009,2,25.42
2009,3,25.67
2009,4,25.94
2009,5,24.76
2009,6,23.78
2009,7,22.71
2009,8,21.85
2009,9,21.23
2009,10,21.34
2009,11,21.99
2009,12,23.41
2010,1,24.85
2010,2,26.22
2010,3,26.56
2010,4,25.43
2010,5,24.65
2010,6,23.14
2010,7,20.93
2010,8,19.7
2010,9,19.5
2010,10,19.73
2010,11,20.34
2010,12,21.91
2011,1,24.08
2011,2,25.94
2011,3,25.61
2011,4,25.34
2011,5,24.53
2011,6,23.42
2011,7,22.06
2011,8,20.79
2011,9,19.99
2011,10,20.24
2011,11,21.09
2011,12,22.13
2012,1,24.38
2012,2,26.46
2012,3,26.65
2012,4,26.44
2012,5,25.29
2012,6,24.14
2012,7,22.36
2012,8,21.07
2012,9,20.79
2012,10,20.65
2012,11,21.24
2012,12,21.96
2013,1,23.89
2013,2,25.37
2013,3,25.81
2013,4,24.31
2013,5,22.83
2013,6,21.22
2013,7,20.36
2013,8,19.85
2013,9,19.95
2013,10,20.27
2013,11,21.09
2013,12,22.37
2014,1,24.56
2014,2,25.49
2014,3,26.17
2014,4,25.51
2014,5,25.48
2014,6,24.67
2014,7,22.94
2014,8,21.9
2014,9,21.52
2014,10,21.71
2014,11,22.45
2014,12,23.22
2015,1,24.41
2015,2,25.57
2015,3,26.57
2015,4,26.54
2015,5,25.96
2015,6,25.32
2015,7,24.5
2015,8,22.66
2015,9,23.01
2015,10,23.14
2015,11,23.93
2015,12,25.02
2016,1,26.36
2016,2,27.4
2016,3,27.83
2016,4,25.98
2016,5,24.9
2016,6,23.77
2016,7,22.21
2016,8,21.25
2016,9,21.29
2016,10,21.36
2016,11,21.78
2016,12,23.24
2017,1,25.5
2017,2,27.46
2017,3,28.1
2017,4,26.59
2017,5,24.63
2017,6,22.89
2017,7,21.64
2017,8,20.67
2017,9,19.92
2017,10,20.21
2017,11,20.46
2017,12,21.39
2018,1,23.44
2018,2,25.13
2018,3,25.13
2018,4,24.51
2018,5,23.67
2018,6,22.4
2018,7,21.56
2018,8,20.74
2018,9,20.65
2018,10,21.18
2018,11,22.46
2018,12,23.86
2019,1,25.4
2019,2,26.62
2019,3,26.61
2019,4,25.83
2019,5,24.61
2019,6,22.78
2019,7,21.27
2019,8,20.24
2019,9,20.01
2019,10,20.27
2019,11,21.55
2019,12,22.77
2020,1,24.2
2020,2,26.12
2020,3,26.43
2020,4,25.81
2020,5,24.28
2020,6,22.43
2020,7,20.68
2020,8,19.96
2020,9,19.5
2020,10,20.42
2020,11,21.07
2020,12,22.21
2021,1,23.68
2021,2,25.24
2021,3,25.74
2021,4,24.59
2021,5,23.63
2021,6,22.75
2021,7,21.75
2021,8,20.71
2021,9,20.02
2021,10,20.15
2021,11,20.53
2021,12,21.12
2022,1,23.46
2022,2,24.52
2022,3,25.73
2022,4,24.14
2022,5,22.76
2022,6,21.63
2022,7,20.76
2022,8,20.41
2022,9,19.71
2022,10,19.23
2022,11,20.52
2022,12,22.35
2023,1,24
2023,2,26.58
2023,3,27.98
2023,4,28.16
2023,5,26.64
2023,6,25.63
2023,7,24.94
2023,8,24.3
2023,9,23.14
2023,10,23.34
2023,11,23.73
2023,12,24.42
2024,1,25.86
2024,2,27.22
2024,3,26.74
2024,4,25.33
2024,5,23.25
2024,6,22.18
2024,7,21.18
2024,8,20.58
2024,9,19.98
2024,10,20.7
2024,11,21.71
2024,12,22.78
